time,x,y,z,yaw,v_x,v_y,v_z
0.010000,0.000000,14.400000,0.000000,-1.570757,0.001995,0.000000,0.000000
0.020000,0.000000,14.399980,0.000000,-1.570757,0.003723,0.000000,0.000000
0.030000,0.000000,14.399942,0.000000,-1.570757,0.005260,0.000000,0.000000
0.040000,0.000000,14.399890,0.000000,-1.570757,0.006667,0.000000,0.000000
0.050000,0.000000,14.399823,0.000000,-1.570757,0.007991,0.000000,0.000000
0.060000,0.000000,14.399743,0.000000,-1.570757,0.009272,0.000000,0.000000
0.070000,0.000000,14.399651,0.000000,-1.570757,0.010542,0.000000,0.000000
0.080000,0.000000,14.399545,0.000000,-1.570757,0.011828,0.000000,0.000000
0.090000,0.000000,14.399427,0.000000,-1.570757,0.013152,0.000000,0.000000
0.100000,0.000000,14.399295,0.000000,-1.570757,0.014537,0.000000,0.000000
0.110000,0.000000,14.399150,0.000000,-1.570757,0.016000,0.000000,0.000000
0.120000,0.000000,14.398990,0.000000,-1.570757,0.017558,0.000000,0.000000
0.130000,0.000000,14.398814,0.000000,-1.570757,0.019229,0.000000,0.000000
0.140000,0.000000,14.398622,0.000000,-1.570757,0.021028,0.000000,0.000000
0.150000,0.000000,14.398412,0.000000,-1.570757,0.022971,0.000000,0.000000
0.160000,0.000000,14.398182,0.000000,-1.570757,0.025075,0.000000,0.000000
0.170000,0.000000,14.397931,0.000000,-1.570757,0.027358,0.000000,0.000000
0.180000,0.000000,14.397658,0.000000,-1.570757,0.029838,0.000000,0.000000
0.190000,0.000000,14.397359,0.000000,-1.570757,0.032534,0.000000,0.000000
0.200000,0.000000,14.397034,0.000000,-1.570757,0.035467,0.000000,0.000000
0.210000,0.000000,14.396679,0.000000,-1.570757,0.038659,0.000000,0.000000
0.220000,0.000000,14.396293,0.000000,-1.570757,0.042134,0.000000,0.000000
0.230000,0.000000,14.395871,0.000000,-1.570757,0.045918,0.000000,0.000000
0.240000,0.000000,14.395412,0.000000,-1.570757,0.050040,0.000115,0.000000
0.250000,0.000001,14.394912,0.000000,-1.570750,0.054531,-0.005626,0.000000
0.260000,-0.000055,14.394367,0.000000,-1.572457,0.058049,-0.027520,0.000000
0.270000,-0.000331,14.393787,0.000000,-1.563145,0.062423,-0.005373,0.000000
0.280000,-0.000380,14.393162,0.000000,-1.564846,0.068369,-0.029459,0.000000
0.290000,-0.000671,14.392476,0.000000,-1.555544,0.071709,-0.008306,0.000000
0.300000,-0.000743,14.391758,0.000000,-1.557257,0.080100,-0.034677,0.000000
0.310000,-0.001079,14.390953,0.000000,-1.547986,0.082495,-0.014400,0.000000
0.320000,-0.001204,14.390125,0.000000,-1.549728,0.093372,-0.043170,0.000000
0.330000,-0.001616,14.389182,0.000000,-1.540509,0.094964,-0.023607,0.000000
0.340000,-0.001823,14.388226,0.000000,-1.542295,0.108390,-0.054913,0.000000
0.350000,-0.002341,14.387126,0.000000,-1.533150,0.109378,-0.035862,0.000000
0.360000,-0.002658,14.386020,0.000000,-1.534995,0.125412,-0.069874,0.000000
0.370000,-0.003311,14.384742,0.000000,-1.525942,0.126052,-0.051091,0.000000
0.380000,-0.003765,14.383459,0.000000,-1.527860,0.144761,-0.088012,0.000000
0.390000,-0.004582,14.381975,0.000000,-1.518920,0.145370,-0.069212,0.000000
0.400000,-0.005198,14.380488,0.000000,-1.520921,0.166817,-0.109270,0.000000
0.410000,-0.006206,14.378767,0.000000,-1.512112,0.167770,-0.090129,0.000000
0.420000,-0.007008,14.377040,0.000000,-1.514205,0.191982,-0.133595,0.000000
0.430000,-0.008233,14.375047,0.000000,-1.505543,0.193706,-0.113752,0.000000
0.440000,-0.009242,14.373040,0.000000,-1.507733,0.220644,-0.160954,0.000000
0.450000,-0.010709,14.370737,0.000000,-1.499234,0.223609,-0.140016,0.000000
0.460000,-0.011946,14.368406,0.000000,-1.501521,0.253653,-0.191220,0.000000
0.470000,-0.013678,14.365743,0.000000,-1.493200,0.258369,-0.168762,0.000000
0.480000,-0.015160,14.363037,0.000000,-1.495583,0.295732,-0.113578,0.000000
0.490000,-0.016070,14.360002,0.000000,-1.493536,0.300881,-0.089302,0.000000
0.500000,-0.016729,14.356934,0.000000,-1.502143,0.337041,-0.144463,0.000000
0.510000,-0.017939,14.353472,0.000000,-1.500334,0.345724,-0.117759,0.000000
0.520000,-0.018870,14.349940,0.000000,-1.509139,0.382959,-0.173743,0.000000
0.530000,-0.020368,14.346011,0.000000,-1.507603,0.400856,-0.136247,0.000000
0.540000,-0.021475,14.341924,0.000000,-1.516404,0.439457,-0.193599,0.000000
0.550000,-0.023169,14.337431,0.000000,-1.514970,0.468103,-0.059656,0.000000
0.560000,-0.023503,14.332724,0.000000,-1.517970,0.506632,-0.121925,0.000000
0.570000,-0.024453,14.327600,0.000000,-1.510808,0.531377,-0.082016,0.000000
0.580000,-0.024953,14.322247,0.000000,-1.513813,0.572166,-0.149002,0.000000
0.590000,-0.026115,14.316450,0.000000,-1.506788,0.598716,-0.107306,0.000000
0.600000,-0.026803,14.310406,0.000000,-1.509811,0.640915,-0.177922,0.000000
0.610000,-0.028188,14.303901,0.000000,-1.502898,0.668517,-0.135301,0.000000
0.620000,-0.029085,14.297139,0.000000,-1.505947,0.711946,-0.208537,0.000000
0.630000,-0.030704,14.289899,0.000000,-1.499135,0.740082,-0.165606,0.000000
0.640000,-0.031826,14.282399,0.000000,-1.502227,0.786448,-0.239601,0.000000
0.650000,-0.033678,14.274389,0.000000,-1.495575,0.814747,-0.196769,0.000000
0.660000,-0.035028,14.266117,0.000000,-1.498790,0.870027,-0.265661,0.000000
0.670000,-0.037051,14.257248,0.000000,-1.492636,0.898151,-0.223062,0.000000
0.680000,-0.038574,14.248119,0.000000,-1.496334,0.951879,-0.294372,0.000000
0.690000,-0.040801,14.238408,0.000000,-1.490601,0.979796,-0.252101,0.000000
0.700000,-0.042529,14.228440,0.000000,-1.494718,1.035120,-0.322343,0.000000
0.710000,-0.044957,14.217873,0.000000,-1.489486,1.062756,-0.280409,0.000000
0.720000,-0.046888,14.207053,0.000000,-1.494115,1.116613,-0.351608,0.000000
0.730000,-0.049539,14.195651,0.000000,-1.489337,1.144025,-0.309984,0.000000
0.740000,-0.051697,14.183996,0.000000,-1.494441,1.197829,-0.380335,0.000000
0.750000,-0.054576,14.171762,0.000000,-1.490142,1.225147,-0.338771,0.000000
0.760000,-0.056965,14.159278,0.000000,-1.495750,1.278003,-0.408461,0.000000
0.770000,-0.060080,14.146228,0.000000,-1.491921,1.306085,-0.365491,0.000000
0.780000,-0.062695,14.132919,0.000000,-1.497987,1.358293,-0.433788,0.000000
0.790000,-0.066033,14.119057,0.000000,-1.494596,1.391668,-0.381621,0.000000
0.800000,-0.068779,14.104890,0.000000,-1.500794,1.446246,-0.445796,0.000000
0.810000,-0.072214,14.090151,0.000000,-1.497647,1.485979,-0.366028,0.000000
0.820000,-0.074779,14.075064,0.000000,-1.502687,1.543111,-0.290572,0.000000
0.830000,-0.076628,14.059471,0.000000,-1.505667,1.587556,-0.128035,0.000000
0.840000,-0.076872,14.043545,0.000000,-1.509735,1.631125,-0.197206,0.000000
0.850000,-0.077845,14.027144,0.000000,-1.504001,1.663138,-0.152732,0.000000
0.860000,-0.078259,14.010448,0.000000,-1.508140,1.707610,-0.221373,0.000000
0.870000,-0.079399,13.993267,0.000000,-1.502503,1.739287,-0.177592,0.000000
0.880000,-0.079984,13.975793,0.000000,-1.506752,1.785068,-0.245230,0.000000
0.890000,-0.081289,13.957822,0.000000,-1.501267,1.816426,-0.202004,0.000000
0.900000,-0.082042,13.939561,0.000000,-1.505681,1.863741,-0.268177,0.000000
0.910000,-0.083505,13.920789,0.000000,-1.500415,1.894813,-0.225306,0.000000
0.920000,-0.084420,13.901729,0.000000,-1.505063,1.943403,-0.289812,0.000000
