time,throttle,steering
0.010000,0.199284,0.000047
0.020000,0.003988,0.000043
0.030000,0.007443,0.000043
0.040000,0.010516,0.000043
0.050000,0.013328,0.000043
0.060000,0.015975,0.000043
0.070000,0.018535,0.000043
0.080000,0.021072,0.000047
0.090000,0.023642,0.000047
0.100000,0.026290,0.000047
0.110000,0.029057,0.000047
0.120000,0.031981,0.000047
0.130000,0.035095,0.000047
0.140000,0.038433,0.000047
0.150000,0.042028,0.000047
0.160000,0.045911,0.000047
0.170000,0.050116,0.000047
0.180000,0.054678,0.000047
0.190000,0.059632,0.000047
0.200000,0.065019,0.000047
0.210000,0.070879,0.000047
0.220000,0.077256,0.000047
0.230000,0.084199,0.000047
0.240000,0.091759,0.000047
0.250000,0.099992,0.000047
0.260000,0.109539,0.000027
0.270000,0.128340,0.004674
0.280000,0.125190,-0.020311
0.290000,0.148715,-0.015685
0.300000,0.144239,-0.040632
0.310000,0.174343,-0.035961
0.320000,0.167318,-0.060795
0.330000,0.205442,-0.056014
0.340000,0.195502,-0.080660
0.350000,0.242619,-0.075708
0.360000,0.229946,-0.100092
0.370000,0.286597,-0.094912
0.380000,0.271669,-0.118961
0.390000,0.338111,-0.113501
0.400000,0.321524,-0.137144
0.410000,0.397860,-0.131358
0.420000,0.380223,-0.154530
0.430000,0.466466,-0.148380
0.440000,0.448352,-0.171017
0.450000,0.544471,-0.164476
0.460000,0.526405,-0.186524
0.470000,0.633000,-0.179579
0.480000,0.615520,-0.200978
0.490000,0.632074,-0.193618
0.500000,0.626708,-0.198576
0.510000,0.731445,-0.174913
0.520000,0.729132,-0.179041
0.530000,0.838654,-0.154670
0.540000,0.845017,-0.157878
0.550000,0.957520,-0.133404
0.560000,0.942162,-0.136208
0.570000,1.000000,-0.127880
0.580000,1.000000,-0.146615
0.590000,1.000000,-0.138166
0.600000,1.000000,-0.156393
0.610000,1.000000,-0.147773
0.620000,1.000000,-0.165553
0.630000,1.000000,-0.156724
0.640000,1.000000,-0.174075
0.650000,1.000000,-0.164981
0.660000,1.000000,-0.181741
0.670000,1.000000,-0.172160
0.680000,1.000000,-0.187453
0.690000,1.000000,-0.176446
0.700000,1.000000,-0.190454
0.710000,1.000000,-0.178169
0.720000,1.000000,-0.190678
0.730000,1.000000,-0.176859
0.740000,1.000000,-0.187978
0.750000,1.000000,-0.172709
0.760000,1.000000,-0.182359
0.770000,1.000000,-0.165553
0.780000,1.000000,-0.173749
0.790000,1.000000,-0.155528
0.800000,1.000000,-0.162361
0.810000,1.000000,-0.143665
0.820000,1.000000,-0.149733
0.830000,1.000000,-0.134244
0.840000,1.000000,-0.124772
0.850000,1.000000,-0.113421
0.860000,1.000000,-0.128047
0.870000,1.000000,-0.116371
0.880000,1.000000,-0.130597
0.890000,1.000000,-0.118488
0.900000,1.000000,-0.132165
0.910000,1.000000,-0.119469
0.920000,1.000000,-0.132415
0.930000,1.000000,-0.118945
0.940000,1.000000,-0.130986
0.950000,1.000000,-0.116564
0.960000,1.000000,-0.127586
0.970000,1.000000,-0.112102
0.980000,1.000000,-0.122060
0.990000,1.000000,-0.105491
1.000000,1.000000,-0.114399
1.010000,1.000000,-0.096822
1.020000,1.000000,-0.104771
1.030000,1.000000,-0.086428
1.040000,1.000000,-0.093647
1.050000,1.000000,-0.075055
1.060000,1.000000,-0.082009
1.070000,1.000000,-0.063802
1.080000,1.000000,-0.071029
1.090000,1.000000,-0.053369
1.100000,1.000000,-0.061007
1.110000,1.000000,-0.043795
1.120000,1.000000,-0.051818
1.130000,1.000000,-0.034991
1.140000,1.000000,-0.043403
1.150000,1.000000,-0.026924
1.160000,1.000000,-0.035728
1.170000,1.000000,-0.019577
1.180000,1.000000,-0.028766
1.190000,1.000000,-0.012932
1.200000,1.000000,-0.022497
1.210000,1.000000,-0.006967
1.220000,1.000000,-0.016894
1.230000,1.000000,-0.001657
1.240000,1.000000,-0.011928
1.250000,1.000000,0.003021
1.260000,1.000000,-0.007576
1.270000,1.000000,0.007098
1.280000,1.000000,-0.003805
1.290000,1.000000,0.010610
1.300000,1.000000,-0.000579
1.310000,1.000000,0.013593
1.320000,1.000000,0.002142
1.330000,1.000000,0.016088
1.340000,1.000000,0.004397
1.350000,1.000000,0.018134
1.360000,1.000000,0.006226
1.370000,1.000000,0.019773
1.380000,1.000000,0.007671
1.390000,1.000000,0.021045
1.400000,1.000000,0.008775
1.410000,1.000000,0.021992
1.420000,1.000000,0.009577
1.430000,1.000000,0.022656
1.440000,1.000000,0.010121
1.450000,1.000000,0.023077
1.460000,1.000000,0.010447
1.470000,1.000000,0.023298
1.480000,1.000000,0.010595
1.490000,1.000000,0.023356
1.500000,1.000000,0.010605
1.510000,1.000000,0.023290
1.520000,1.000000,0.010514
1.530000,1.000000,0.023137
1.540000,1.000000,0.010361
1.550000,1.000000,0.022932
1.560000,1.000000,0.010178
1.570000,1.000000,0.022711
1.580000,1.000000,0.010001
1.590000,1.000000,0.022503
1.600000,1.000000,0.009862
1.610000,1.000000,0.022341
1.620000,1.000000,0.009792
1.630000,1.000000,0.022255
1.640000,1.000000,0.009824
1.650000,1.000000,0.022274
1.660000,1.000000,0.009989
1.670000,1.000000,0.022430
1.680000,1.000000,0.010325
1.690000,1.000000,0.022759
1.700000,1.000000,0.010874
1.710000,1.000000,0.023304
1.720000,1.000000,0.011690
1.730000,1.000000,0.024120
1.740000,1.000000,0.012851
1.750000,1.000000,0.025290
1.760000,1.000000,0.014471
1.770000,1.000000,0.026938
1.780000,1.000000,0.016727
1.790000,1.000000,0.029265
1.800000,1.000000,0.019925
1.810000,1.000000,0.032623
1.820000,1.000000,0.024614
1.830000,1.000000,0.037669
1.840000,1.000000,0.031875
1.850000,1.000000,0.045719
1.860000,1.000000,0.043985
1.870000,1.000000,0.059159
1.880000,1.000000,0.063009
1.890000,1.000000,0.051822
1.900000,1.000000,-1.000000
1.910000,1.000000,-1.000000
1.920000,1.000000,1.000000
1.930000,1.000000,1.000000
1.940000,1.000000,1.000000
1.950000,1.000000,1.000000
1.960000,1.000000,1.000000
1.970000,1.000000,1.000000
1.980000,1.000000,1.000000
1.990000,1.000000,1.000000
2.000000,1.000000,1.000000
2.010000,1.000000,1.000000
2.020000,1.000000,1.000000
2.030000,1.000000,1.000000
2.040000,1.000000,1.000000
2.050000,1.000000,1.000000
2.060000,1.000000,1.000000
2.070000,1.000000,1.000000
2.080000,1.000000,1.000000
2.090000,1.000000,1.000000
2.100000,1.000000,1.000000
2.110000,1.000000,1.000000
2.120000,1.000000,1.000000
2.130000,1.000000,1.000000
2.140000,1.000000,1.000000
2.150000,1.000000,1.000000
2.160000,1.000000,1.000000
2.170000,1.000000,1.000000
2.180000,1.000000,1.000000
2.190000,1.000000,1.000000
2.200000,1.000000,1.000000
2.210000,1.000000,1.000000
2.220000,0.000000,1.000000
2.230000,0.000000,1.000000
2.240000,0.000000,1.000000
2.250000,0.000000,1.000000
2.260000,0.000000,1.000000
2.270000,0.000000,1.000000
2.280000,0.000000,1.000000
2.290000,0.000000,1.000000
2.300000,0.000000,1.000000
2.310000,0.000000,1.000000
2.320000,0.000000,1.000000
2.330000,0.000000,1.000000
2.340000,0.000000,1.000000
2.350000,1.000000,1.000000
2.360000,1.000000,1.000000
2.370000,1.000000,1.000000
2.380000,1.000000,1.000000
2.390000,1.000000,1.000000
2.400000,1.000000,1.000000
2.410000,1.000000,1.000000
2.420000,1.000000,1.000000
2.430000,1.000000,1.000000
2.440000,1.000000,1.000000
2.450000,1.000000,1.000000
2.460000,1.000000,1.000000
2.470000,1.000000,1.000000
2.480000,1.000000,1.000000
2.490000,1.000000,1.000000
2.500000,1.000000,1.000000
2.510000,1.000000,1.000000
2.520000,1.000000,1.000000
2.530000,1.000000,1.000000
2.540000,1.000000,1.000000
2.550000,1.000000,1.000000
2.560000,1.000000,1.000000
2.570000,1.000000,1.000000
2.580000,1.000000,1.000000
2.590000,1.000000,1.000000
2.600000,1.000000,1.000000
2.610000,1.000000,1.000000
2.620000,1.000000,1.000000
2.630000,1.000000,1.000000
2.640000,1.000000,1.000000
2.650000,1.000000,1.000000
2.660000,1.000000,1.000000
2.670000,0.000000,1.000000
2.680000,1.000000,1.000000
2.690000,1.000000,1.000000
2.700000,1.000000,1.000000
2.710000,0.000000,1.000000
2.720000,1.000000,1.000000
2.730000,1.000000,1.000000
2.740000,1.000000,1.000000
2.750000,1.000000,1.000000
2.760000,1.000000,1.000000
2.770000,0.000000,1.000000
2.780000,1.000000,1.000000
2.790000,1.000000,1.000000
2.800000,1.000000,1.000000
2.810000,1.000000,1.000000
2.820000,1.000000,1.000000
2.830000,0.000000,1.000000
