Time,x,y,z,yaw,v_x,v_y,v_z,r_x,r_y,r_z,a_x,a_y,a_z
0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000
0.10,0.000391,0.000011,0.000000,0.000016,0.023273,0.001319,0.000000,0.000000,0.000000,0.001856,-0.571588,6.989276,0.000000
0.20,0.003853,0.000273,0.000000,0.000384,0.075361,0.008612,0.000000,0.000000,0.000000,0.012112,-1.090884,6.610111,0.000000
0.35,0.020711,0.002828,0.000000,0.003945,0.195708,0.033806,0.000000,0.000000,0.000000,0.047548,-1.489212,6.197364,0.000000
0.45,0.042639,0.006734,0.000000,0.009277,0.292624,0.050547,0.000000,0.000000,0.000000,0.071094,-1.418622,6.260062,0.000000
0.55,0.074337,0.012576,0.000000,0.016993,0.391963,0.067707,0.000000,0.000000,0.000000,0.095228,-1.451612,6.337553,0.000000
0.60,0.093875,0.016294,0.000000,0.021755,0.439482,0.075916,0.000000,0.000000,0.000000,0.106773,-1.506405,6.379599,0.000000
0.70,0.139839,0.025401,0.000000,0.032973,0.524388,0.090582,0.000000,0.000000,0.000000,0.127401,-1.683324,6.458758,0.000000
0.80,0.193667,0.036723,0.000000,0.046142,0.589002,0.101743,0.000000,0.000000,0.000000,0.143099,-1.927227,6.506349,0.000000
0.90,0.253107,0.050067,0.000000,0.060726,0.626992,0.108306,0.000000,0.000000,0.000000,0.152329,-2.208334,6.503607,0.000000
1.00,0.315358,0.065012,0.000000,0.076053,0.634637,0.109626,0.000000,0.000000,0.000000,0.154186,-2.510856,6.482506,0.000000
1.10,0.377356,0.080904,0.000000,0.091376,0.611187,0.105576,0.000000,0.000000,0.000000,0.148489,-2.822848,6.491722,0.000000
1.20,0.436081,0.096908,0.000000,0.105948,0.558939,0.096550,0.000000,0.000000,0.000000,0.135795,-3.106322,6.510742,0.000000
1.30,0.488862,0.112102,0.000000,0.119097,0.483002,0.083433,0.000000,0.000000,0.000000,0.117346,-3.314758,6.487883,0.000000
1.40,0.533622,0.125602,0.000000,0.130290,0.390805,0.067507,0.000000,0.000000,0.000000,0.094947,-3.426241,6.420170,0.000000
1.50,0.569075,0.136708,0.000000,0.139184,0.291360,0.050329,0.000000,0.000000,0.000000,0.070787,-3.438866,6.336540,0.000000
1.60,0.594831,0.145010,0.000000,0.145663,0.194391,0.033579,0.000000,0.000000,0.000000,0.047228,-3.356971,6.259121,0.000000
1.70,0.611423,0.150467,0.000000,0.149844,0.109377,0.018894,0.000000,0.000000,0.000000,0.026573,-3.188888,6.196516,0.000000
1.80,0.620252,0.153407,0.000000,0.152072,0.044628,0.007709,0.000000,0.000000,0.000000,0.010842,-2.949058,6.150531,0.000000
1.90,0.623454,0.154480,0.000000,0.152881,0.006477,0.001119,0.000000,0.000000,0.000000,0.001574,-2.658762,6.121226,0.000000
2.00,0.623767,0.154573,0.000000,0.152943,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.344883,6.108629,0.000000
2.10,0.624143,0.154699,0.000000,0.153038,0.023273,0.004020,0.000000,0.000000,0.000000,0.005654,-2.037761,6.113557,0.000000
2.25,0.631098,0.157039,0.000000,0.154795,0.110715,0.015905,0.000000,0.000000,0.000000,0.022370,-1.333933,6.392642,0.000000
2.35,0.643777,0.160705,0.000000,0.157128,0.195708,0.016698,0.000000,0.000000,0.000000,0.023486,-0.422837,6.927355,0.000000
2.45,0.665213,0.165660,0.000000,0.159272,0.292624,0.008279,0.000000,0.000000,0.000000,0.011644,0.742600,3.893498,0.000000
2.55,0.696505,0.171115,0.000000,0.159854,0.391963,-0.011090,0.000000,0.000000,0.000000,-0.015597,0.619246,-5.851792,0.000000
2.65,0.737836,0.175938,0.000000,0.157322,0.483989,-0.041295,0.000000,0.000000,0.000000,-0.058080,-0.424960,-6.925223,0.000000
2.75,0.788428,0.178762,0.000000,0.150204,0.559682,-0.080404,0.000000,0.000000,0.000000,-0.113086,-1.402956,-6.577358,0.000000
2.85,0.846574,0.178183,0.000000,0.137395,0.611624,-0.105651,0.000000,0.000000,0.000000,-0.148595,-2.037013,-6.438914,0.000000
2.95,0.909378,0.175832,0.000000,0.122348,0.634726,-0.109642,0.000000,0.000000,0.000000,-0.154208,-2.342742,-6.453496,0.000000
3.05,0.973697,0.172449,0.000000,0.106929,0.626726,-0.108260,0.000000,0.000000,0.000000,-0.152264,-2.657091,-6.455951,0.000000
3.15,1.036364,0.168188,0.000000,0.091891,0.588405,-0.101640,0.000000,0.000000,0.000000,-0.142954,-2.949919,-6.447876,0.000000
3.25,1.094382,0.163383,0.000000,0.077954,0.523514,-0.090431,0.000000,0.000000,0.000000,-0.127189,-3.190909,-6.425163,0.000000
3.35,1.145216,0.158480,0.000000,0.065727,0.438400,-0.075729,0.000000,0.000000,0.000000,-0.106510,-3.354999,-6.385047,0.000000
3.45,1.187046,0.153951,0.000000,0.055654,0.341386,-0.058971,0.000000,0.000000,0.000000,-0.082940,-3.426634,-6.331495,0.000000
3.55,1.218931,0.150194,0.000000,0.047968,0.241957,-0.041795,0.000000,0.000000,0.000000,-0.058784,-3.400290,-6.272717,0.000000
3.65,1.240901,0.147447,0.000000,0.042667,0.149832,-0.025882,0.000000,0.000000,0.000000,-0.036402,-3.279441,-6.216598,0.000000
3.75,1.253944,0.145753,0.000000,0.039518,0.074019,-0.012786,0.000000,0.000000,0.000000,-0.017983,-3.075781,-6.168870,0.000000
3.85,1.259912,0.144961,0.000000,0.038077,0.021928,-0.003788,0.000000,0.000000,0.000000,-0.005327,-2.808496,-6.133408,0.000000
3.95,1.261340,0.144770,0.000000,0.037732,0.000000,0.000232,0.000000,0.000000,0.000000,0.000327,-2.502930,-6.112824,0.000000
4.05,1.261340,0.144782,0.000000,0.037748,0.007822,-0.001351,0.000000,0.000000,0.000000,-0.001900,-2.188725,-6.109349,0.000000
4.15,1.262903,0.144572,0.000000,0.037371,0.045972,-0.007941,0.000000,0.000000,0.000000,-0.011169,-1.896001,-6.121860,0.000000
4.25,1.269005,0.143749,0.000000,0.035897,0.110715,-0.019125,0.000000,0.000000,0.000000,-0.026898,-1.654031,-6.150152,0.000000
4.35,1.282170,0.141949,0.000000,0.032716,0.195708,-0.033806,0.000000,0.000000,0.000000,-0.047548,-1.487212,-6.192154,0.000000
4.45,1.304226,0.138848,0.000000,0.027383,0.292624,-0.050547,0.000000,0.000000,0.000000,-0.071094,-1.412712,-6.244664,0.000000
4.55,1.336117,0.134172,0.000000,0.019667,0.391963,-0.067707,0.000000,0.000000,0.000000,-0.095228,-1.438327,-6.302943,0.000000
4.65,1.377806,0.127705,0.000000,0.009567,0.483989,-0.083604,0.000000,0.000000,0.000000,-0.117586,-1.561174,-6.360105,0.000000
4.75,1.428280,0.119324,0.000000,-0.002683,0.559682,-0.080404,0.000000,0.000000,0.000000,-0.113086,-1.430806,-6.662311,0.000000
4.85,1.485675,0.111618,0.000000,-0.013070,0.611624,-0.052185,0.000000,0.000000,0.000000,-0.073397,-0.624610,-5.658366,0.000000
4.95,1.547535,0.106308,0.000000,-0.019240,0.634726,-0.017958,0.000000,0.000000,0.000000,-0.025258,0.200889,0.737913,0.000000
5.05,1.610973,0.104149,0.000000,-0.020503,0.626726,0.017732,0.000000,0.000000,0.000000,0.024939,-0.526236,5.853230,0.000000
5.15,1.672908,0.105537,0.000000,-0.016819,0.588405,0.050204,0.000000,0.000000,0.000000,0.070611,-1.759979,6.858282,0.000000
5.25,1.730353,0.110374,0.000000,-0.008797,0.523514,0.075208,0.000000,0.000000,0.000000,0.105778,-2.835772,6.631245,0.000000
5.35,1.780725,0.117990,0.000000,0.002359,0.438400,0.075729,0.000000,0.000000,0.000000,0.106510,-3.382988,6.457960,0.000000
5.45,1.822150,0.125354,0.000000,0.012432,0.341386,0.058971,0.000000,0.000000,0.000000,0.082940,-3.444713,6.378593,0.000000
5.55,1.853706,0.131272,0.000000,0.020119,0.241957,0.041795,0.000000,0.000000,0.000000,0.058784,-3.409332,6.296271,0.000000
5.65,1.875437,0.135507,0.000000,0.025419,0.149832,0.025882,0.000000,0.000000,0.000000,0.036402,-3.282963,6.225773,0.000000
5.75,1.888335,0.138085,0.000000,0.028568,0.074019,0.012786,0.000000,0.000000,0.000000,0.017983,-3.076765,6.171434,0.000000
5.85,1.894235,0.139281,0.000000,0.030009,0.021928,0.003788,0.000000,0.000000,0.000000,0.005327,-2.808645,6.133796,0.000000
5.95,1.895647,0.139569,0.000000,0.030354,0.000000,-0.000232,0.000000,0.000000,0.000000,-0.000327,-2.502933,6.112832,0.000000
6.05,1.895648,0.139557,0.000000,0.030338,0.007822,0.001351,0.000000,0.000000,0.000000,0.001900,-2.188725,6.109349,0.000000
6.15,1.897193,0.139873,0.000000,0.030716,0.045972,0.007941,0.000000,0.000000,0.000000,0.011169,-1.896041,6.121962,0.000000
6.25,1.903225,0.141109,0.000000,0.032190,0.110715,0.019125,0.000000,0.000000,0.000000,0.026898,-1.654476,6.151309,0.000000
6.35,1.916237,0.143801,0.000000,0.035371,0.195708,0.033806,0.000000,0.000000,0.000000,0.047548,-1.489212,6.197364,0.000000
6.45,1.938031,0.148394,0.000000,0.040703,0.292624,0.050547,0.000000,0.000000,0.000000,0.071094,-1.418622,6.260062,0.000000
6.55,1.969530,0.155229,0.000000,0.048420,0.391963,0.067707,0.000000,0.000000,0.000000,0.095228,-1.451612,6.337553,0.000000
6.65,2.010682,0.164518,0.000000,0.058520,0.483989,0.083604,0.000000,0.000000,0.000000,0.117586,-1.584592,6.421111,0.000000
6.75,2.060469,0.176313,0.000000,0.070769,0.559682,0.096679,0.000000,0.000000,0.000000,0.135976,-1.798901,6.488445,0.000000
6.85,2.117009,0.190468,0.000000,0.084723,0.611624,0.105651,0.000000,0.000000,0.000000,0.148595,-2.064568,6.510697,0.000000
6.95,2.177752,0.206596,0.000000,0.099769,0.634726,0.109642,0.000000,0.000000,0.000000,0.154208,-2.357311,6.491450,0.000000
7.05,2.239745,0.224066,0.000000,0.115189,0.626726,0.108260,0.000000,0.000000,0.000000,0.152264,-2.667329,6.482622,0.000000
7.15,2.299934,0.242027,0.000000,0.130226,0.588405,0.101640,0.000000,0.000000,0.000000,0.142954,-2.971407,6.503855,0.000000
7.25,2.355468,0.259495,0.000000,0.144164,0.523514,0.075208,0.000000,0.000000,0.000000,0.105778,-2.782710,6.462440,0.000000
7.35,2.404302,0.273302,0.000000,0.153334,0.438400,0.037405,0.000000,0.000000,0.000000,0.052610,-2.046240,6.072459,0.000000
7.45,2.444810,0.282628,0.000000,0.157523,0.341386,0.009659,0.000000,0.000000,0.000000,0.013585,-1.119311,2.081472,0.000000
7.55,2.475978,0.288078,0.000000,0.158202,0.241957,-0.006846,0.000000,0.000000,0.000000,-0.009628,-1.355976,-5.851629,0.000000
7.65,2.497664,0.290628,0.000000,0.156946,0.149832,-0.012784,0.000000,0.000000,0.000000,-0.017980,-2.200728,-6.904610,0.000000
7.75,2.510663,0.291400,0.000000,0.155168,0.074019,-0.010633,0.000000,0.000000,0.000000,-0.014956,-2.746992,-6.388337,0.000000
7.85,2.516666,0.291409,0.000000,0.153878,0.021928,-0.003788,0.000000,0.000000,0.000000,-0.005327,-2.808496,-6.133408,0.000000
7.95,2.518107,0.291385,0.000000,0.153533,0.000000,0.000232,0.000000,0.000000,0.000000,0.000327,-2.502930,-6.112824,0.000000
8.05,2.518105,0.291396,0.000000,0.153549,0.007822,-0.001351,0.000000,0.000000,0.000000,-0.001900,-2.188725,-6.109349,0.000000
8.15,2.519683,0.291368,0.000000,0.153171,0.045972,-0.007941,0.000000,0.000000,0.000000,-0.011169,-1.896001,-6.121860,0.000000
8.25,2.525838,0.291256,0.000000,0.151697,0.110715,-0.019125,0.000000,0.000000,0.000000,-0.026898,-1.654031,-6.150152,0.000000
8.35,2.539124,0.290989,0.000000,0.148516,0.195708,-0.033806,0.000000,0.000000,0.000000,-0.047548,-1.487212,-6.192154,0.000000
8.45,2.561390,0.290457,0.000000,0.143184,0.292624,-0.050547,0.000000,0.000000,0.000000,-0.071094,-1.412712,-6.244664,0.000000
8.50,2.576232,0.290044,0.000000,0.139629,0.342605,-0.059181,0.000000,0.000000,0.000000,-0.083236,-1.412927,-6.273458,0.000000
8.60,2.613483,0.288790,0.000000,0.130706,0.439482,-0.075916,0.000000,0.000000,0.000000,-0.106773,-1.488203,-6.332181,0.000000
8.70,2.660297,0.286769,0.000000,0.119488,0.524388,-0.090582,0.000000,0.000000,0.000000,-0.127401,-1.655242,-6.385601,0.000000
8.80,2.715220,0.283753,0.000000,0.106319,0.589002,-0.101743,0.000000,0.000000,0.000000,-0.143099,-1.896201,-6.425522,0.000000
8.90,2.775998,0.279591,0.000000,0.091734,0.626992,-0.108306,0.000000,0.000000,0.000000,-0.152329,-2.187004,-6.448040,0.000000
