tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-81.0,1.5,0.0,0.01,0.01,0.0
blue,-76.0,1.5,0.0,0.01,0.01,0.0
blue,-71.0,1.5,0.0,0.01,0.01,0.0
blue,-66.0,1.5,0.0,0.01,0.01,0.0
blue,-61.0,1.5,0.0,0.01,0.01,0.0
blue,-56.0,1.5,0.0,0.01,0.01,0.0
blue,-51.0,1.5,0.0,0.01,0.01,0.0
blue,-46.0,1.5,0.0,0.01,0.01,0.0
blue,-41.0,1.5,0.0,0.01,0.01,0.0
blue,-36.0,1.5,0.0,0.01,0.01,0.0
blue,-31.0,1.5,0.0,0.01,0.01,0.0
blue,-26.0,1.5,0.0,0.01,0.01,0.0
blue,-21.0,1.5,0.0,0.01,0.01,0.0
blue,-16.0,1.5,0.0,0.01,0.01,0.0
yellow,-81.0,-1.5,0.0,0.01,0.01,0.0
yellow,-76.0,-1.5,0.0,0.01,0.01,0.0
yellow,-71.0,-1.5,0.0,0.01,0.01,0.0
yellow,-66.0,-1.5,0.0,0.01,0.01,0.0
yellow,-61.0,-1.5,0.0,0.01,0.01,0.0
yellow,-56.0,-1.5,0.0,0.01,0.01,0.0
yellow,-51.0,-1.5,0.0,0.01,0.01,0.0
yellow,-46.0,-1.5,0.0,0.01,0.01,0.0
yellow,-41.0,-1.5,0.0,0.01,0.01,0.0
yellow,-36.0,-1.5,0.0,0.01,0.01,0.0
yellow,-31.0,-1.5,0.0,0.01,0.01,0.0
yellow,-26.0,-1.5,0.0,0.01,0.01,0.0
yellow,-21.0,-1.5,0.0,0.01,0.01,0.0
yellow,-16.0,-1.5,0.0,0.01,0.01,0.0
big_orange,-86.0,1.5,0.0,0.01,0.01,0.0
big_orange,-86.0,-1.5,0.0,0.01,0.01,0.0
big_orange,-86.5,1.5,0.0,0.01,0.01,0.0
big_orange,-86.5,-1.5,0.0,0.01,0.01,0.0
big_orange,-11.0,1.5,0.0,0.01,0.01,0.0
big_orange,-11.0,-1.5,0.0,0.01,0.01,0.0
car_start,-89.0,0.0,0.0,0.0,0.0,0.0
orange,-11.0,1.5,0.0,0.01,0.01,0.0
orange,-11.0,-1.5,0.0,0.01,0.01,0.0
orange,-6.0,1.5,0.0,0.01,0.01,0.0
orange,-6.0,-1.5,0.0,0.01,0.01,0.0
orange,-1.0,1.5,0.0,0.01,0.01,0.0
orange,-1.0,-1.5,0.0,0.01,0.01,0.0
orange,4.0,1.5,0.0,0.01,0.01,0.0
orange,4.0,-1.5,0.0,0.01,0.01,0.0
orange,9.0,1.5,0.0,0.01,0.01,0.0
orange,9.0,-1.5,0.0,0.01,0.01,0.0
orange,14.0,1.5,0.0,0.01,0.01,0.0
orange,14.0,-1.5,0.0,0.01,0.01,0.0
orange,19.0,1.5,0.0,0.01,0.01,0.0
orange,19.0,-1.5,0.0,0.01,0.01,0.0
orange,24.0,1.5,0.0,0.01,0.01,0.0
orange,24.0,-1.5,0.0,0.01,0.01,0.0
orange,29.0,1.5,0.0,0.01,0.01,0.0
orange,29.0,-1.5,0.0,0.01,0.01,0.0
orange,34.0,1.5,0.0,0.01,0.01,0.0
orange,34.0,-1.5,0.0,0.01,0.01,0.0
orange,39.0,1.5,0.0,0.01,0.01,0.0
orange,39.0,-1.5,0.0,0.01,0.01,0.0
orange,44.0,1.5,0.0,0.01,0.01,0.0
orange,44.0,-1.5,0.0,0.01,0.01,0.0
orange,49.0,1.5,0.0,0.01,0.01,0.0
orange,49.0,-1.5,0.0,0.01,0.01,0.0
orange,54.0,1.5,0.0,0.01,0.01,0.0
orange,54.0,-1.5,0.0,0.01,0.01,0.0
orange,59.0,1.5,0.0,0.01,0.01,0.0
orange,59.0,-1.5,0.0,0.01,0.01,0.0
orange,64.0,1.5,0.0,0.01,0.01,0.0
orange,64.0,-1.5,0.0,0.01,0.01,0.0
orange,69.0,1.5,0.0,0.01,0.01,0.0
orange,69.0,-1.5,0.0,0.01,0.01,0.0
orange,74.0,1.5,0.0,0.01,0.01,0.0
orange,74.0,-1.5,0.0,0.01,0.01,0.0
orange,79.0,1.5,0.0,0.01,0.01,0.0
orange,79.0,-1.5,0.0,0.01,0.01,0.0
orange,84.0,1.5,0.0,0.01,0.01,0.0
orange,84.0,-1.5,0.0,0.01,0.01,0.0
orange,89.0,1.5,0.0,0.01,0.01,0.0
orange,89.0,-1.5,0.0,0.01,0.01,0.0
