# type,x_m,y_m,z_m,yaw_deg
start,-12.0,0.0,3.0,0.0
start,-12.0,0.0,-3.0,0.0
start,-10.0,0.0,3.0,0.0
start,-10.0,0.0,-3.0,0.0
checkpoint,9.0,0.0,0.0,90.0
checkpoint,8.827067523629074,0.0,1.7558128981451542,101.25
checkpoint,8.31491579260158,0.0,3.444150891285808,112.5
checkpoint,7.483226510722907,0.0,5.00013209717642,123.74999999999999
checkpoint,6.3639610306789285,0.0,6.363961030678928,135.0
checkpoint,5.0001320971764205,0.0,7.483226510722907,146.25
checkpoint,3.4441508912858083,0.0,8.31491579260158,157.5
checkpoint,1.755812898145155,0.0,8.827067523629074,168.75
checkpoint,5.51091059616309e-16,0.0,9.0,180.0
checkpoint,-1.7558128981451537,0.0,8.827067523629074,191.25
checkpoint,-3.4441508912858074,0.0,8.31491579260158,202.5
checkpoint,-5.000132097176418,0.0,7.4832265107229095,213.75
checkpoint,-6.363961030678928,0.0,6.3639610306789285,225.0
checkpoint,-7.483226510722908,0.0,5.00013209717642,236.25
checkpoint,-8.31491579260158,0.0,3.444150891285809,247.49999999999997
checkpoint,-8.827067523629074,0.0,1.7558128981451575,258.75
checkpoint,-9.0,0.0,1.102182119232618e-15,270.0
checkpoint,-8.827067523629074,0.0,-1.7558128981451553,281.25
checkpoint,-8.314915792601582,0.0,-3.444150891285807,292.5
checkpoint,-7.4832265107229095,0.0,-5.000132097176418,303.75
checkpoint,-6.363961030678929,0.0,-6.363961030678928,315.0
checkpoint,-5.00013209717642,0.0,-7.483226510722907,326.25
checkpoint,-3.444150891285813,0.0,-8.314915792601578,337.5
checkpoint,-1.755812898145158,0.0,-8.827067523629072,348.75
checkpoint,-1.6532731788489267e-15,0.0,-9.0,360.0
checkpoint,1.7558128981451548,0.0,-8.827067523629074,371.25
checkpoint,3.44415089128581,0.0,-8.31491579260158,382.5
checkpoint,5.000132097176417,0.0,-7.4832265107229095,393.75
checkpoint,6.363961030678926,0.0,-6.363961030678929,405.0
checkpoint,7.483226510722907,0.0,-5.00013209717642,416.25
checkpoint,8.314915792601578,0.0,-3.4441508912858136,427.5
checkpoint,8.827067523629072,0.0,-1.7558128981451584,438.75
left,10.5,0.0,0.0,0.0
right,7.5,0.0,0.0,0.0
left,10.29824544423392,0.0,2.048448381169347,0.0
right,7.355889603024228,0.0,1.4631774151209618,0.0
left,9.70073509136851,0.0,4.018176039833443,0.0
right,6.929096493834651,0.0,2.8701257427381734,0.0
left,8.730430929176725,0.0,5.833487446705822,0.0
right,6.236022092269089,0.0,4.166776747647017,0.0
left,7.4246212024587495,0.0,7.424621202458749,0.0
